년도,교명,1교장A,1교장B,1교장C,1교장D,1교장E,1교장F,1교장G,2학교A,2학교B,2학교C,2학교D,2학교E,2학교F,2학교G,3인원A,3인원B,3인원C,3인원D,3인원E,3인원F,3인원G,4학과A,4학과B,4학과C,4학과D,4학과E,4학과F,4학과G,5시설A,5시설B,5시설C,5시설D,5시설E,5시설F,5시설G,6기타A,6기타B,6기타C,6기타D,6기타E,6기타F,6기타G
1994,안성산업대학교,null,null,null,null,null,null,null,2월 28일 안성농업전문대학이 폐교됐다.,6월 1일 대학소식지 창간됐다. 창간호에는 한기영 총장의 창간사가 실렸다.,null,null,null,null,null,2월 18일 안성농업전문대학교의 제14회 졸업식이 진행됐다. 전문대학 최종회 졸업생은 368명으로 총 5088명이 배출됐다.,9월 3일 주간 820명 및 야간 900명으로 총 1720명으로 증원됐다.,null,null,null,null,null,null,null,null,null,null,null,null,9월 21일 구 도서관이 증축 개관됐다.,10월 14일 제1공학관이 착공됐다.,null,null,null,null,null,null,null,null,null,null,null,null
1995,안성산업대학교,null,null,null,null,null,null,null,8월 18일 산업체위탁교육이 개설됐다.,null,null,null,null,null,null,2월 17일 제1회 학위수여식(93년 3학년 편입생들)에서 총 126명이 수료했다.,10월 6일 여러 학과 총 240명의 정원이 승인됐다.,null,null,null,null,null,10월 6일 건축공학과/제어계측공학과/안전공학과가 신설됐다.,null,null,null,null,null,null,2월 구내식당으로 3층의 조립식 건물이 증축됐다.,6월 조직배양실 시설이 변경 공사됐다.,null,null,null,null,null,null,null,null,null,null,null,null
1996,안성산업대학교,null,null,null,null,null,null,null,11월 1일 농림부지정 낙농특성화대학교로 선정됐다.,null,null,null,null,null,null,2월 23일 제2회 학위수여식에서 총 232명이 수료했다.,3월 6개학과 주간 2240명 및 야간 1840명으로 총 4080명의 입학정원이 증원됐다.,null,null,null,null,null,10월 12일 법학과(야간)이 신설됐다.,null,null,null,null,null,null,9월 4일 제1공학관이 준공됐다.,12월 31일 제 2공학관이 1차 착공됐다.,null,null,null,null,null,null,null,null,null,null,null,null
1997,안성산업대학교,3월 1일 제2대 총장으로 한기영(1997.3.31 ~ 2001.3.30)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,2월 21일 제3회 학위수여식에서 총 865명이 수료했다.,null,null,null,null,null,null,11월 3일 농학과에서 식물자원과학과 / 축산학과에서 동물생명자원학과 /  농촌개발학과에서 농촌공학과 / 전자계산학과에서 컴퓨터공학과 / 농업기계학과에서 생물자원기계학과로 학과 명칭이 변경됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1998,안성산업대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2월 제4회 학위수여식에서 총 767명이 수료했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,11월 19일 제2공학관이 준공됐고 낙농기술지원센터가 건립됐다.,12월 7일 사회교육원이 개원했다.,null,null,null,null,null,null,null,null,null,null,null,null
1999,한경대학교,null,null,null,null,null,null,null,1월 8일 재단법인한경대학교학술. 장학진흥재단이 설립됐다.,3월 1일 한경대학교로 교명이 변경됐다.,4월 29일 교육부 지정 교육개현추진 우수대학으로 선정 돼 국고 284000천원을 지원 받았다.,null,null,null,null,2월 10일 제5회 학위수여식에서 총 799명이 수료했다.,11월 2일 정원 및 입학인원 90명으로 증원됐다.,null,null,null,null,null,3월 낙농학과에서 낙농과학과로 학과명이 변경됐다.,10월 29일 영어학과(야간)가 신설됐다.,11월 2일 식물자원과학과 / 동물생명자원학과 / 컴퓨터공학과 / 환경공학과 / 전자공학과 / 화학공학과 / 조경공학과 / 경영학과 / 산업디자인학과가 신설됐다.,null,null,null,null,null,null,null,null,null,null,null,수업 및 재학 연안에 제한을 두지 않았기 때문에 학생들이 자유롭게 생업을 하면서도 수업을 받을 수 있는 특성을 갖고 있었다. 그 결과 일반대학보다 졸업지 자유로웠다.,null,null,null,null,null,null
2000,한경대학교,null,null,null,null,null,null,null,2월 22일 새 교가가 사용됐다.,2월 28일 한경대학교 캠퍼스 마스터플랜(2001~2010)이 확정됐다.,5월 21일 새로운 교훈과 교목 및 상징동물이 사용됐다.,6월 14일 2000년 대학 다양화 및 특성화 기반조성지원사업 대상으로 선정돼 국고 2억 5백 30만 3천원을 지원 받았다.,8월 17일 이공계 대학연구소 기자재 첨단화지원사업 대상 대학으로 선정돼 국고 약 1억원을 지원 받았다.,9월 29일 중앙일보주관 전국대학평가 최우수교수진 확보 1위 및 취업률 및 사회평판도 우수대학교로 선정됐다.,null,2월 22일 1999학년도 전기 학위수여식으로 학사 904명이 배출됐다.,3월 2일 입학식이 진행됐다.,null,null,null,null,null,10월 11일 생명공학과(야간) 및 컴퓨터정보수리학과(야간)가 신설됐고 산업디자인학과에서 산업디자인학부로 학과 명칭이 변경됐다.,null,null,null,null,null,null,9월 15일 공동실험실습관이 준공됐다.,10월 2일 제2공학과 1층 인터넷 PC식이 개소됐다.,null,null,null,null,null,null,null,null,null,null,null,null
2001,한경대학교,3월 31일 제3대 총장으로 이원우(2001.3.31 ~ 2005.3.30)가 취임했다.,null,null,null,null,null,null,2월 13일 정보 통신부 주관 IT관련학과 지원대학으로 선정됐다.,5월 9일 창업보육센터 중소기업청장상을 수상했다.,8월 24일 교육인적자원부 지정 우수 산업대학교로 선정됐다.,null,null,null,null,2월 학위수여식이 진행됐다.,3월 주간 입학 984명 및 야간 입학 519명을 모집했다.,null,null,null,null,null,11월 27일 웹정보공학과(야간) / 영양조리과학과(주간) / 의류산업학과(주간) / 과학기술법무학과(주간) / 미디어문예창작학과(야간) 학과가 신설됐다.,11월 27일 생활관리학과에서 아동가족복지학과로 학과 명칭이 변경됐고 가정학과가 폐지됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2002,한경대학교,null,null,null,null,null,null,null,2월 27일 2002년도 IT학과 장비 지원사업대상 대학으로 선정돼 1억원을 지원받았다.,11월 1일 경기도 주관 경기도지역협력연구센터(KRRC) BT분야 지정 대학으로 선정됐다.,null,null,null,null,null,2월 22일 2001학년도 학위수여식에서 학사 1009명 및 석사 24명이 수료했다.,3월 4일 신입생 1395명 및 편입생 330명 및 산업체 위탁생 170명이 입학했다.,null,null,null,null,null,11월 1일 운동생리정보학과(주간)가 신설됐고 제어계측공학과에서 정보제어공학과 / 농촌공학과에서 지역자원시스템공학과로 학과 명칭이 변경됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2003,한경대학교,null,null,null,null,null,null,null,9월 24일 중소기업기술혁신대전 산.학.연 단체부문 대통령상을 수상했다.,null,null,null,null,null,null,2월 21일 2002학년도 학위수여식에서 학부과정 1146명 및 석사과정 24명 등 총 1170명이 수료했다.,3월 3일 신입생 1511명 및 편입생 403명 및 산업체 위탁생 193명 등 총 2107명이 입학했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2004,한경대학교,null,null,null,null,null,null,null,6월 15일 한국국제협력단과 대 개도국 해외봉사단 파견시 봉사참여 재학생의 학점인정제 실시 및 팀제봉사단 파견협력 등을 주요내용으로 하는 협약서를 체결했다.,null,null,null,null,null,null,2월 20일 2003학년도 전기 학위수여식에서 학부과정 1221명 및 석사과정 55명 등 총 1276명이 수료했다.,3월 2일 신입생 및 편입생 총 2319명이 입학했다.,null,null,null,null,null,3월 1일 식품공학과에서 식품생물공학과 / 컴퓨터정보수리학에서 컴퓨터정보수학과 / 산업디자인학부에서 디자인학부로 학과 명칭을 변경했다.,null,null,null,null,null,null,3월 18일 중앙도서관을 개관했다.,10월 4일 한경대학교부설 중등교육연수원을 개설 인가했다.,null,null,null,null,null,null,null,null,null,null,null,null
2005,한경대학교,3월 31일 제4대 총장으로 최일신(2005.3.31 ~ 2009.3.30)이 취임했다.,null,null,null,null,null,null,2월 25일 국립 농산물 품질 관리원 친환경 농축산물 인증기관으로 지정됐다.,3월 1일 국립학교 설치령 개정에 따라 조직체제를 개편하였고 5과체제에서 3처 체제로 대학부를 대학으로 변경했다. 이어 단과 대학과 대학원의 통합 행정실을 설치했다. ,4월 14일 개교 제66주년 기념식이 열렸다.,4월 21일 교기 인수가 진행됐다.,5월 13일 건학 66주년 기념 한경제가 열렸다.,6월 21일 우리 대학이 수도권 대학 특성화 지원사업에 선정됐다.,11월 24일 우리 대학과 한국재활복지대학 및 경인교육대학이 통합 대원칙에 합의하였다.,null,null,null,null,null,null,null,3월 1일 생물자원기계학과에서 기계공학과로 학과 명칭을 변경했다.,null,null,null,null,null,null,5월 6일 친환경농축산물인증센터를 개소했다.,12월 15일 인문사회관을 개관했다.,12월 9일 백호광장이 준공됐다. 총 4억 6천여만원의 예산을 투입했다.,null,null,null,null,null,null,null,null,null,null,null
2006,한경대학교,null,null,null,null,null,null,null,4월 10일 국립농산물품질관리원 우수농산물(gap)인증기관으로 지정됐다.,4월 27일 우리 대학이 제2단계 BK 21 사업에 선정됐다.,8월 1일 경기도지사 및 3개교 총학장이 경인교대가 즉시 통합이 어려울 경우 우선 우리 대학과 한국재활복지대학 2자간의 우선 통합을 추진할 수 있다는 안을 제시했다.,null,null,null,null,2월 22일 2005학년도 전기학위수여식에서 학사 1251명 및 석사 64명 등 총 1317명이 수료했다.,3월 2일 입학식으로 신입생 1513명과 편입생 419명 및 위탁생 233명 및 대학원 170명으로 총 2335명이 입학했다. 입시 경쟁률 평균 13대 1,null,null,null,null,null,3월 1일 조경공학과에서 조경학과로 학과 명칭을 변경했다. 식물자원학과와 원예학과를 식물생명환경과학부로 / 동물생명자원학과와 낙농학과를 동물생명환경학부로 통합했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2007,한경대학교,null,null,null,null,null,null,null,2월 25일 경인교대의 유예요청으로 인해 2자 우선 통합추진으로 진행했다.,3월 15일 교수회를 개최하고 우선 2자 토합의 동의 여부와 2자 통합 추진을 총장에 위임하는 안건을 심의했다.,4월 5일 한국재활복지대학과 통합 합의각서(MOA)를 체결했다.,10월 2일 한경대학교와 재활복지대의 통합공청회가 열렸다.,null,null,null,2월 22일 2006학년도 전기학위수여식에서 학사 1284명 및 석사 58명 등 총 1284명이 수료했다.,3월 2일 입학식으로 신입생 1460명과 편입생 387명 및 위탁생 222명 및 대학원 213명 등으로 총 2309명이 입학했다. 입시 경쟁률 평균 19대 1,null,null,null,null,null,3월 1일 컴퓨터정보수학과에서 응용수학과로 / 응용생명과학부(동물유전체전공 및 식물유전체전공)에서 동물생명환경학부(동물신소재공학전공)로 / 동물생명환경학부(동물신소재공학전공)에서 동물생명환경과학부로 학과 명칭이 변경됐다.,3월 1일 정보기술공학과군에서 전자공학과 및 정보제어공학과 및 전기공학과로 / 컴퓨터공학과군에서 컴퓨터공학과 및 웹정보공학과로 학과군이 분리됐다.,null,null,null,null,null,1월 15일 연구소명칭이 계면공학연구소에서 화학공학연구소로 변경됐다.,8월 27일 총 565명을 수용하는 학생 기숙사(호연관)가 개관했다.,null,null,null,null,null,null,null,null,null,null,null,null
2008,한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3월 7일 바이오가스센터가 개소됐다.,4월 23일 축산위생교육원이 개원했다.,6월 12일 플로랜드가 개장했다.,null,null,null,null,null,null,null,null,null,null,null
2009,한경대학교,3월 31일 제5대 총장으로 김성진(2009.3.31 ~ 2013.3.30)이 취임했다. ,null,null,null,null,null,null,11월 1일 우리 대학이 IT와 전통기술 융합기반 고령친화산업 전문기술 인력양성 사업으로 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,3월 1일 식물생명환경과학부에서 원예학과로 학과가 분리됐고 화학공학과에서 화학공학부(화학공학전공 및 공업화학전공)로 변경됐다.,null,null,null,null,null,null,2월 27일 기후변화연구센터가 개소됐다.,5월 15일 박물관이 개관됐다.,12월 8일 학생회관이 개관됐다.,null,null,null,null,null,null,null,null,null,null,null
2010,한경대학교,null,null,null,null,null,null,null,1월 26일 우리 대학이 중소기업청 예비 기술 창업자 육성 사업으로 선정됐다.,2월 22일 우리 대학이 중소기업청 대학생 창업 지원단 사업으로 선정됐다.,4월 27일 우리 대학이 물류 특성화 인력 양성 사업으로 선정됐다.,5월 10일 전통 식품 마이스터 과정에 선정됐다.(농림수산식품부),12월 10일 일반대학으로의 전환이 승인됐다.,null,null,null,null,null,null,null,null,null,3월 1일 운동생리정보학과에서 스포츠과학과로 학과명이 변경됐다.,null,null,null,null,null,null,9월 비봉관 리모델링 및 개축(35명 증가)으로 총 600명을 수용한다. ,11월 18일 인조잔디구장을 개장했다.,12월 10일 산학협력관을 개관했다.,null,null,null,null,null,null,null,null,null,null,null
2011,한경대학교,null,null,null,null,null,null,null,2월 25일 우리시와 관내 5개 대학 간 상호협력(중앙대 / 두원공과대학 / 동아방송예술대학 / 한국폴리텍여자대학 / 한경대)을 체결했다.,5월 9일 2011 대학교육역량강화 지원 사업에 선정됐다. (교육과학기술부),7월 18일 지식경제부 에너지 인력양성 사업(에너지 기초인력양성 트랙)에 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6월 30일 경기도 스마트물류기술연구센터를 개소했다.,null,null,null,null,null,null,null,null,null,null,null,null,null
2012,국립한경대학교,null,null,null,null,null,null,null,3월 1일 국립한경대학교(일반대학)이 설립(개교)됐다.,4월 16일 대학 창업 교육 패키지 사업에 선정됐다.,4월 18일 2012 대학교육역량강화 지원 사업에 선정됐다.,5월 25일 예비기술창업자 육성 사업에 선정됐다.,6월 7일 한경 Vision2025 비전선포식이 개최됐다.,6월 12일 선취업 후진학 지원시스템 사업에 선정됐다.,6월 15일 식품산업 전문인력양성사업에 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9월 4일 자연과학관이 개관됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null
2013,국립한경대학교,4월 23일 제6대 총장으로 태범석(2013.4.17 ~ 2017.4.16)이 취임했다.,null,null,null,null,null,null,7월 11일 2013년 대학교육역량강화 지원 사업에 선정됐다.,8월 5일 2013년 대학중심의 평생학습 활성화 지원 사업에 선정됐다.,11월 4일 교육부 BK21 플러스 사업(특화 전문인재 양성사업단)에 선정됐다. ,11월 16일 ‘동북아 평화와 번영을 위한 2013 한일평화심포지엄’을 공동 개최했다.,12월 27일 대학교육협의회 대학평가원의 평가인증을 획득했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9월 2일 200명을 수용할 수 있는 학생생활관(창조관)을 신축 개관했다.,null,null,null,null,null,null,null,null,null,null,null,null,null
2014,국립한경대학교,null,null,null,null,null,null,null,4월 15일 경기도 농업마이스터대학 운영기관으로 선정됐다.,7월 2일 수도권 대학 특성화 사업에 선정됐다.,7월 15일 교육부 평생학습 중심대학 육성기관으로 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,7월 10일 우리학교 전기전자제어공학과 학생으로 구성된 'CORE'팀이 제11회 IE경진대회에서 대상과 장려상을 각각 수상했다.,null,null,null,null,null,null,3월 그린낙농지원센터 기숙사 운영(70명 증가)으로 총 870명을 수용한다. ,9월 29일 지역문화 복합관 건립(19년 완공)이 확정됐다.,null,null,null,null,null,null,null,null,null,null,null,null
2015,국립한경대학교,null,null,null,null,null,null,null,4월 6일 중소기업청의 연구마을 사업의 주관기관으로 선정됐다.,4월 13일 중소기업청의 대학생 창업아카데미 사업에 선정됐다.,5월 13일 대학 창의적 자산 실용화 지원사업에 선정됐다.,10월 21일 한경대학교 대학발전위원회가 출범했다.,10월 22일 한국복지대학교와 학술 및 교육협력을 위한 MOU를 체결했다. ,12월 8일 중소기업청의 지역특화산업학과 주관대학으로 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3월 3일 한살림 농식품분석센터가 개관됐다.,7월 1일 미래인재개발원이 신설됐다.,null,null,null,null,null,null,null,null,null,null,null,null
2016,국립한경대학교,null,null,null,null,null,null,null,1월 14일 중소기업청의 2016년도 산학연협력 기술개발사업 주관기관으로 선정됐다.,4월 18일 문화체육관광부의 길 위의 인문학 사업 도서관으로 선정됐다.,5월 31일 수도권대학 특성화 사업(CKⅡ) 중간평가 결과 계속 지원 대학으로 선정됐다.,7월 13일 국립대 직원역량강화 운영성과 우수대학으로 선정됐다.,9월 1일 경기도지역협력연구센터 평가 우수센터로 선정됐다.,11월 21일 한국직업능력개발원 주관 교육기부 진로체험 인증기관으로 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5월 한국국제협력단과 함께 경기국제개발협력센터가 개소됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null
2017,국립한경대학교,10월 20일 제7대 총장으로 임태희(2017.10.20 ~ 2021.10.5)가 취임했다.,null,null,null,null,null,null,2월 15일 한국교통대학교와 건국대글로컬캠퍼스 및 세명대학교가 교육자원공유 업무협약에 체결했다.,3월 농업계학교 역량강화 교육 지원 사업에 선정됐다.,4월 20일 교육부 국립대직원역량강화 운영성과 평가 최우수 대학으로 선정됐다.,6월 2일 산업 안전 보건 계약학과 주관대학으로 선정됐다.,8월 30일 교육부 2017년 고교교육기여대학지원 공동사업으로 선정됐다.,11월 2일 본교 체육관에서 2017 한경공학페스티벌을 개최했다. 한경공학페스티벌은 공학계열 학생들이 직접 만든 공학 작품을 전시하고 활동 성과를 공유하여 우수과제를 포상하고 학생들의 자긍심을 고취하기 위해 마련된 행사다. ,11월 13일 미래인재개발원은 11월 13일부터 14일까지 이틀간 학생 맞춤형 취업캠프 및 기업체 견학 프로그램을 개최했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3월 6일 586명을 수용하는 학생생활관(나래관)이 개관됐다. 총 1456명을 수용한다.,null,null,null,null,null,null,2월 15일 업무협약은 지역중심 국립대와 사립대 간의 첫 교육과정 및 자원공유이다.,null,null,null,null,null,null
2018,국립한경대학교,null,null,null,null,null,null,null,2월 12일 고용노동부 주관 대학일자리센터사업 운영대학으로 선정됐다.,3월 15일 교육부 주관 파란사다리 주관대학으로 선정됐다.,3월 19일 우리대학이 교육부와 한국장학재단이 시행하는 2018년 파란사다리 주관대학에 선정되었다.,4월 13일 개교 79주년을 맞아 본교 컨벤션홀에서 총동문회장 및 교직원이 참석한 가운데 개교기념식을 개최했다. ,5월 17일 2018년 교육부 주관 고교교육기여대학 지원사업에 선정됐다.,9월 20일 2018 공공부문 인적자원개발 우수기관(Best HRD)에 선정됐다.,10월 16일 교육부 이진석 고등교육정책실장 및 신민영 국립대학정책과 사무관이 우리 대학을 방문했다. 대학 구조조정과 대학 평가 및 국립대 발전 방안에 대한 다양한 이야기가 나왔으며 교육부 또한 국립대 육성에 최대한 지원을 아끼지 않겠다고 답변했다.,2월 22일 11시에 본교 체육관에서 2017학년도 전기 학위수여식을 개최했다. 이번 학위수여식에는 총 943명의 졸업생이 배출됐다.,2월 28일 11시 본교 체육관 등에서 1522명의 신편입생이 참여한 가운데 2018학년도 입학식을 개최했다. 입학식 후에는 각 단과대학별로 오리엔테이션이 진행돼 대학생활에 대한 안내가 이뤄졌다. ,null,null,null,null,null,null,null,null,null,null,null,null,2월 비봉관 2인 1실 리모델링(수용인원 108명)으로 총 1350명을 수용한다.,5월 17일 중앙도서관 '한경마루' 현판식을 진행했다. 중앙도서관 2층이 리모델링을 거쳐 복합문화공간 한경마루로 재탄생했다. 새롭게 구성된 한경마루는 편안한 디자인의 휴게공간은 물론 자료검색 및 학습 등 다양한 기능을 수행할 수 있는 공간으로 구성됐다.,11월 21일 대학일자리센터 개소식이 진행됐다.,null,null,null,null,null,null,null,null,null,null,null
2019,국립한경대학교,null,null,null,null,null,null,null,3월 12일 경기도 일자리재단 취업브리지사업단으로 선정됐다.,3월 25일 <한경비전 2030> 중장기 발전계획 및 특성화 계획을 확정했다.,4월 15일 한국복지대와 통합관련 양해각서를 체결했다. ,4월 16일 개교 80주년 개교기념식을 개최했다.,5월 2일 우리 대학은 교육부의 2019년 대학혁신지원 사업에 선정됐다. 이번 사업에 선정됨에 따라 한경대는 오는 2021년까지 3년간 66억 원의 국고 지원금을 받게 된다.,5월 28일 미세먼지 저감을 위한 실증연구단 수행기관으로 선정됐다.,12월 5일 <한경비전 2030> 선포식을 개최했다. 우리 대학은 임태희 총장 취임 2년 만에 대학 비전을 새롭게 수립했다. 한경비전2030은 ‘길을 만드는 대학 경기 대표 국립대학’의 비전에 맞게 도전과 소통에 강한 융합형 인재를 양성해 전국 30위권 대학에 진입하겠다는 내용을 핵심으로 한다.   ,2월 22일 11시에 본교 체육관에서 2018학년도 학위수여식이 개최됐다. 총 1050명이 학위수여를 받게 됐다.,null,null,null,null,null,null,1월 31일 건축학과(5년제)가 한국건축학교육인증원(KAAB:Korean Architecture Accrediting Board)의 건축학 교육 프로그램 인증심사 결과 최고등급인 6년 인증 유효기간을 획득하였다.,3월 20일 웰니스산업융합학부가 대학 특성화 학부로 선정됐다.,11월 27일 우리 대학의 웰니스글로컬페스티벌이 성황리에 개최됐다.,null,null,null,null,6월 18일 한경대 내 KCL(한국건설생활환경시험연구원) 사업장을 개소했다.,11월 13일 친환경농업연구센터가 준공됐다.,12월 20일 지역문화복합관이 준공됐다.,null,null,null,null,null,null,null,null,null,null,null
2020,국립한경대학교,null,null,null,null,null,null,null,6월 3일 한경대학교 및 한국복지대학교의 통합 합의서가 체결됐다.,6월 16일 경기도 대학생 융합기술 창업지원 사업으로 선정됐다.,11월 27일 2020 장애대학생 교육복지지원 실태평가에서 우수대학으로 선정됐다.,12월 2일 글로컬 융합교육센터의 신축사업비가 확정됐다.,null,null,null,null,null,null,null,null,null,null,3월 1일 학사구조가 4개 단과대학과 24개 학과에서 13개 학부와 31개 전공으로 개편됐다.,null,null,null,null,null,null,5월 28일 창업동아리 발대식 및 창업공간(HK 드림랜드) 개소식이 개최됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null
2021,국립한경대학교,10월 15일 제8대 총장으로 이원희(2021.10.15 ~ 2023.2)가 취임했다.,null,null,null,null,null,null,2월 9일 한경대학교와 한국복지대학교의 대학통합 신청서가 제출됐다.,2월 16일 고용노동부 2020년 대학일자리센터사업 성과평가 우수대학으로 선정됐다.,5월 6일 한국고용정보원 대학일자리센터 2020년 연차성과평가 우수대학으로 선정됐다.,7월 26일 일반국립대학 중 우리 대학이 취업률 1위를 기록했다. 우리 대학이 교육부가 발표한 대학정보공시 2020년 대학취업률통계에서 취업률 66.8%로 전국 일반국립대학 중 1위를 기록하며 ‘믿음이 가는 취업 명문 대학’으로 자리매김했다.,9월 3일 2021년 대학 기본역량 진단 최종 결과에서 일반재정지원 대학으로 선정됐다.,11월 15일 우리학교는 지역사회 소통 강화를 위해 시민공청회를 개최했다.,11월 30일 우리 대학의 교육목표인 BRIGHT의 6대 핵심역량을 높이기 위한 BRIGHT Makers EXPO가 11월 16일(화)~17일(수) 이틀간 지역문화복합관 체육관에서 개최됐다. ,null,null,null,null,null,null,null,3월 1일 AI융합학부가 설치됐다.,null,null,null,null,null,null,3월 비봉관 리모델링(수용인원 104명)으로 총 1308명을 수용한다.,null,null,null,null,null,null,null,null,null,null,null,null,null
2022,국립한경대학교,null,null,null,null,null,null,null,1월 26일 우리 대학은 고용노동부와 한국고용정보원이 주관하는 ‘2021년 대학일자리센터 사업 성과평가’에서 2년 연속 최고 등급인 ‘우수’ 대학에 선정됐다.,3월 8일 우리 대학은 2019 인증대학 모든 조건을 충족해 인증자격을 획득했다. 우리대학은 모든 분야에서 기준조건을 상회하여 우수한 평가를 받았다. ,3월 17일 우리 대학은 2022년 '경기 중장년 행복캠퍼스' 지원 사업에 선정됐다. ,4월 25일 한경대학교와 한국복지대학교의 통합이 승인됐다.,8월 25일 치유농업 프로그램 및 교육 분야 정부 혁신 우수사례로 선정됐다.,12월 연안 체험 활동 안전교육 최우수 위탁기관으로 선발됐다.,null,2월 28일 2022년 온라인 입학식이 개최됐다. 31개 전공 총 1413명이 입학했다.,null,null,null,null,null,null,8월 30일 디자인전공이 세계 디자인 스쿨 랭킹 24위에 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2023,한경국립대학교,3월 제1대 총장으로 이원희(2023.3 ~ )가 취임했다.,null,null,null,null,null,null,1월 26일 우리 대학은 고용노동부와 한국고용정보원이 주관하는 ‘2022년 대학일자리센터 사업 성과평가’에서 3년 연속 최고 등급인 ‘우수’ 대학에 선정됐다.,2월 2일 우리 대학이 2022년 취업률 67.9%를 기록해 3년 연속 전국 일반국립대학 중 취업률 1위를 차지했다.,3월 2일 우리 대학은 한경대학교와 한국복지대학교의 통합을 기념하고 ‘한경국립대학교’의 새로운 시작을 알리는 통합출범식을 개최했다.,3월 10일 우리 대학은 2023년 교육부에서 주관하는 '교육 국제화역량 인증대학'에 선정되었다. 본교는 학위과정과 한국어연수과정 모두에서 인증을 받게 되어 유학생 비자발급 절차 간소화 등의 혜택을 받게 된다.  ,3월 24일 우리 대학은 교육부에서 주관하는 ‘장애학생 지원 거점대학 운영지원’ 사업 중 진로·취업지원유형에서 지원대상교로 최종 선정됐다.,9월 18일 장애인 창업인재 육성과 국립대학 중심의 창업교육 허브구축을 위한 2023 청년장애인 창업공유대학 협약 및 선포식을 개최했다.,11월 16일 경기도 의사 수 부족 문제와 불균형적 의사 분포 문제 해결을 위한 안성시 한경국립대학교 의과대학 설치 추진 기자 회견 및 협약식을 진행했다.,2월 28일 11시 미래융합기술연구센터 컨벤션센터(안성캠퍼스)에서 2023학년도 입학식을 개최했다. 올해 신·편입생은 총 1631명이다. 이번 행사는 성적 우수 입학생 등 최소 인원만 현장 참석한 채 안성캠퍼스 및 평택캠퍼스에 온라인 생중계 진행됐다.,null,null,null,null,null,null,5월 3일 기존의 일반대학 교직과정 운영과 더불어 교육대학원 과정을 신설했다. ,12월 19일 의과대학 신설을 위한 토론회를 개최했다.,12월 29일 공군장교학군단(ROTC) 신설교로 최종 선정했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2024,한경국립대학교,null,null,null,null,null,null,null,1월 26일 대학일자리본부가 고용노동부 2023년 대학일자리플러스센터사업 연차 성과평가에서 4년 연속 최고 등급인 우수를 획득했다. ,2월 27일 우리 대학은 고용노동부 '2024년 대학일자리플러스센터 사업'과 '대학 재학생 맞춤형 고용서비스 사업'에 우선협상대학으로 선정되었다. ,2월 21일 이원희 총장이 2023 WFPL 참교육공헌 부문 대상을 수상했다.,4월 11일 우리 대학은 개교 85주년 및 통합대학 1주년 출범을 맞아 안성캠퍼스 산학협력관 시청각실에서 개교 85주년 기념식 및 탄소중립 국제콘퍼런스를 개최했다. ,7월 9일 우리 대학은 교육부의 ‘2024년 첨단산업 인재양성 부트캠프 사업’에 최종 선정되어 2028년까지 5년간 70억원을 지원받는다.,8월 22일 우리 대학은 윤종군 국회의원실과 공동으로 여의도 국회의원회관에서 경기도 공공의료체계 강화를 위한 '한경국립대 공공의과대학 특별법' 토론회를 가졌다.,null,2월 22일 11시에 안성캠퍼스 지역문화복합관에서 2023 전기학위수여식이 개최됐다. 이번 학위수여식에는 총 1136명이 졸업했다.,2월 29일 우리 대학은 안성캠퍼스 운동장에서 2024학년도 신입생 입학식을 개최했다. 올해 우리 대학은 안성캠퍼스 및 평택캠퍼스 포함 약 1448명이 입학했다.,null,null,null,null,null,2월 7일 공군본부(대장 이영수)와 공군 학군단(ROTC) 설치관련 합의서를 체결했다.,4월 8일 우리 대학은 학생극장에서 공군 학생군사교육단 창설 기념음악회를 개최했다.,6월 12일 2025년부터 아동가족복지학전공의 전공명이 복지상담학전공으로 변경된다.,null,null,null,null,1월 29일 글로컬융합교육센터 공사가 본격적으로 시작됐다. 글로컬융합교육센터는 안성캠퍼스 내에 새롭게 지어지는 건물로 총 7층(지하 1층 제외) 규모다. 본 공사는 2026년 1월 경 완료된다.,null,null,null,null,null,null,null,null,null,null,null,null,null