년도,교명,PR1,PR1,PR1,PR2,PR2,PR2,PR3,PR3,PR3,PR4,PR4,PR4,PR5,PR5,PR5,PR6,PR6,PR6,PR7,PR7,PR7,SC1,SC1,SC1,SC2,SC2,SC2,SC3,SC3,SC3,SC4,SC4,SC4,SC5,SC5,SC5,SC6,SC6,SC6,SC7,SC7,SC7,ST1,ST1,ST1,ST2,ST2,ST2,ST3,ST3,ST3,ST4,ST4,ST4,ST5,ST5,ST5,ST6,ST6,ST6,ST7,ST7,ST7,MA1,MA1,MA1,MA2,MA2,MA2,MA3,MA3,MA3,MA4,MA4,MA4,MA5,MA5,MA5,MA6,MA6,MA6,MA7,MA7,MA7,FA1,FA1,FA1,FA2,FA2,FA2,FA3,FA3,FA3,FA4,FA4,FA4,FA5,FA5,FA5,FA6,FA6,FA6,FA7,FA7,FA7,ET1,ET1,ET1,ET2,ET2,ET2,ET3,ET3,ET3,ET4,ET4,ET4,ET5,ET5,ET5,ET6,ET6,ET6,ET7,ET7,ET7
1939,안성공립농업학교,초대 교장 우쓰노미야 취임,1939년 4월 1일,초대 교장으로 우쓰노미야(1939.4.1. ~ 1945.10.14.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학교 설립 인가,1939년 3월 24일,안성공립농업학교가 설립인가됐다.,학교 개교,1939년 4월 15일,안성공립농업학교가 개교했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,입학생 인원,1939년 3월,5년제 5학급 각 55명씩 입학했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,초기 과목 구성,1939년 3월,3월 교양과목(수신/공민/국어(일본어)/역사)과 기초과목(수학/이과/외국어)과 예능과목(체육/음악/회화가) 및 전공과목(농업 일반)을 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,교실 및 사무실 이용,1939년 3월,안성공립보통학교 교실 두개를 빌려 교실 및 사무실로 사용했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학교 설립 배경,1939년 3월 24일,박필병 선생의 기부금을 바탕으로 경기도 안성읍 석정동에 설립했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1940,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학생 수,1940년 3월,총 학생 수는 110명이다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,신축 교사 이전,1940년 4월,안성읍 석개근 부지에 교사를 신축하고 안성시 중앙로 167번지로 이전했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학교 개교 배경,1940년 3월,개교 당시 56만㎡(17만평)이었다는 설이 유력하다. 해방 이후 교직원 봉급 줄 돈이 없어 학교 땅을 야금야금 팔았다는 이야기가 전해진다. 대학 본부 건물 앞 나무가 '안농'의 유산으로 남아 있다. 1940년대부터 심은 나무들이다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1941,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1942,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,이전 비봉관,1942년 3월,지금의 비봉관 자리에 기숙사 한동이 있었으며 주숙용이라기보단 전교생 수련이 목적이었다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1943,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,낙성식 행사 진행,1943년 4월 15일,낙성식 행사가 진행됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제1회 졸업식,1943년 12월 24일,제1회 졸업식으로 47명이 졸업했다. 공무원 25명 / 교육계 4명 / 농검 2명 / 금융계 3명 / 회사 3명 / 군인 10명이다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학교 규모 구성,1943년 3월,학교 규모(부지 총면적 4만8900평 / 건물 총면적 1231평 / 학교 산림 7만 2540평),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1944,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제2회 졸업식,1944년 12월 18일,제2회 졸업식으로 50명이 졸업했다. 공무원 27명 / 교육계 5명 / 농검 2명 / 금융계 2명 / 회사 4명 / 진학 1명이다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1945,안성공립농업학교,제2대 교장 신태등 취임,1945년 10월 14일,제2대 교장으로 신태등(1945.10.15. ~ 1946.11.14.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제3회 졸업식,1945년 3월 23일,제3회 졸업식으로 53명이 졸업했다. 공무원 39명 / 교육계 7명 / 농검 2명 / 회사 1명 / 진학 2명 / 군인 2명이다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1946,안성공립농업학교,제3대 교장 한택우 취임,1946년 11월 5일,제3대 교장으로 한택우(1946.11.15. ~ 1951.10.15.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제4회 졸업식,1946년 7월 21일,제4회 졸업식으로 44명이 졸업했다. 공무원 10명 / 교육계 20명 / 금융계 1명 / 진학 8명 / 자영 5명이다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1947,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6년제 학제 개편,1947년 9월 1일,6년제로 학제가 개편됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1948,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1949,안성농업중학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업중학교 교명 변경,1949년 4월 1일,안성농업중학교로 교명이 변경됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제5회 졸업식,1949년 6월 15일,제5회 졸업식으로 43명(6년제 농업과)이 졸업했다. ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,구성 과목 소개,1949년 3월,교양과목(수신/공민/국어(일본어)/역사)과 기초과목(수학/이과/외국어)과 전공과목(농업 일반) 및 예능과목(음악/도서) 외에 체조와 무도 및 교련을 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1950,안성농업중학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학교 개편,1950년 5월 1일,안성농업고등학교(3년제)+안성농업중학교(4년제)로 개편됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제6회 졸업식,1950년 5월 3일,제6회 졸업식으로 32명(6년제 농업과)이 졸업했다. ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1951,안성농업고등학교,제4대 교장 이병규 취임,1951년 10월 16일,제4대 교장으로 이병규(1951.10.16. ~ 1954.3.3.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성중학교로 교명 변경,1951년 3월,안성농업중학교에서 안성중학교로 교명을 변경했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제7회 졸업식,1951년 8월 21일,제7회 졸업식(6년제 농업과) 및 제1회 졸업식(4년제)으로 총 58명이 졸업했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학급 구성,1950년 3월,농업과 및 임과 각 3학급을 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1952,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농고 제1회 졸업생,1952년 3월 25일,제1회 졸업생(안성농고 3년제)이 졸업했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1953,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1954,안성농업고등학교,제5대 교장 유석준 취임,1954년 3월 4일,제5대 교장으로 유석준(1954.3.4. ~ 1955.5.30.)이 취임했다. ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학급 구성,1954년 3월,농업과 4학급 및 임과와 축산과 각 3학급씩 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1955,안성농업고등학교,제6대 교장 어윤수 취임,1955년 5월 31일,제6대 교장으로 어윤수(1955.5.31. ~ 1957.3.30.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학급 구성,1955년 3월,농업과 9학급 및 임과와 축산과 각 3학급씩 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1956,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1957,안성농업고등학교,제7대 교장 서경렬 취임,1957년 3월 31일,제7대 교장으로 서경렬(1957.3.31. ~ 1958.11.17.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1958,안성농업고등학교,제8대 교장 홍락선 취임,1958년 12월 9일,제8대 교장으로 홍락선(1958.12.9. ~ 1961.8.21.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1959,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학급 구성,1959년 3월,농업과 6학급 및 임과와 축산과 및 원예과 각 3학급씩 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1960,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1961,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1962,안성농업고등학교,제9대 교장 송재형 취임,1962년 3월 9일,제9대 교장으로 송재형(1962.3.9. ~ 1969.7.2.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,고등전문대학 설립계획안,1962년 12월 5일,5년제 실업고등전문대학의 설립계획안을 의결했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
