년도,교명,PR1,PR1,PR1,PR2,PR2,PR2,PR3,PR3,PR3,PR4,PR4,PR4,PR5,PR5,PR5,PR6,PR6,PR6,PR7,PR7,PR7,SC1,SC1,SC1,SC2,SC2,SC2,SC3,SC3,SC3,SC4,SC4,SC4,SC5,SC5,SC5,SC6,SC6,SC6,SC7,SC7,SC7,ST1,ST1,ST1,ST2,ST2,ST2,ST3,ST3,ST3,ST4,ST4,ST4,ST5,ST5,ST5,ST6,ST6,ST6,ST7,ST7,ST7,MA1,MA1,MA1,MA2,MA2,MA2,MA3,MA3,MA3,MA4,MA4,MA4,MA5,MA5,MA5,MA6,MA6,MA6,MA7,MA7,MA7,FA1,FA1,FA1,FA2,FA2,FA2,FA3,FA3,FA3,FA4,FA4,FA4,FA5,FA5,FA5,FA6,FA6,FA6,FA7,FA7,FA7,ET1,ET1,ET1,ET2,ET2,ET2,ET3,ET3,ET3,ET4,ET4,ET4,ET5,ET5,ET5,ET6,ET6,ET6,ET7,ET7,ET7
2017,국립한경대학교,제7대 총장 임태희 취임,2017년 10월 20일,제7대 총장으로 임태희(2017.10.20. ~ 2021.10.5.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,교육자원공유 업무 협약 체결,2017년 2월 15일,한국교통대학교와 건국대글로컬캠퍼스 및 세명대학교가 교육자원공유 업무 협약에 체결했다.,농업계학교 역량강화 교육,2017년 3월,농업계학교 역량강화 교육 지원 사업에 선정됐다.,국립대직원역량강화 최우수,2017년 4월 20일,교육부 국립대직원역량강화 운영성과 평가 최우수 대학으로 선정됐다.,산업 안전 보건 계약학과 주관대학,2017년 6월 2일,산업 안전 보건 계약학과 주관대학으로 선정됐다.,고교교육기여대학지원 공동사업,2017년 8월 30일,교육부 2017년 고교교육기여대학지원 공동사업으로 선정됐다.,2017 한경공학페스티벌 개최,2017년 11월 2일,본교 체육관에서 2017 한경공학페스티벌을 개최했다. 한경공학페스티벌은 공학계열 학생들이 직접 만든 공학 작품을 전시하고 활동 성과를 공유하여 우수과제를 포상하고 학생들의 자긍심을 고취하기 위해 마련된 행사다. ,학생 맞춤형 취업캠프,2017년 11월 13일,미래인재개발원은 11월 13일부터 14일까지 이틀간 학생 맞춤형 취업캠프 및 기업체 견학 프로그램을 개최했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,나래관 개관,2017년 3월 6일,586명을 수용하는 학생생활관(나래관)이 개관됐다. 총 1456명을 수용한다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학교 업무 협약,2017년 2월 15일,업무협약은 지역중심 국립대와 사립대 간의 첫 교육과정 및 자원공유이다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2018,국립한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,대학일자리센터사업 운영대학,2018년 2월 12일,고용노동부 주관 대학일자리센터사업 운영대학으로 선정됐다.,파란사다리 주관대학 선정,2018년 3월 15일,교육부 주관 파란사다리 주관대학으로 선정됐다.,파란사다리 주관대학 선정,2018년 3월 19일,우리대학이 교육부와 한국장학재단이 시행하는 2018년 파란사다리 주관대학에 선정되었다.,개교 79주년 개교기념식 개최,2018년 4월 13일,개교 79주년을 맞아 본교 컨벤션홀에서 총동문회장 및 교직원이 참석한 가운데 개교기념식을 개최했다. ,고교교육기여대학지원 공동사업,2018년 5월 17일,교육부 2018년 고교교육기여대학지원 공동사업으로 선정됐다.,공공부문 인적자원개발 Best HRD,2018년 9월 20일,2018 공공부문 인적자원개발 우수기관(Best HRD)에 선정됐다.,대학 구조 조정 및 평가,2018년 10월 16일,교육부 이진석 고등교육정책실장 및 신민영 국립대학정책과 사무관이 우리 대학을 방문했다. 대학 구조 조정과 대학 평가 및 국립대 발전 방안에 대한 다양한 이야기가 나왔으며 국립대 육성에 최대한 지원을 아끼지 않겠다고 답변했다.,2017학년도 전기 학위 수여식,2018년 2월 22일,11시에 본교 체육관에서 2017학년도 전기 학위수여식을 개최했다. 이번 학위수여식에는 총 943명의 졸업생이 배출됐다.,2018학년도 입학식,2024년 2월 28일,11시 본교 체육관 등에서 1522명의 신편입생이 참여한 가운데 2018학년도 입학식을 개최했다. 입학식 후에는 각 단과대학별로 오리엔테이션이 진행돼 대학생활에 대한 안내가 이뤄졌다. ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,비봉관 2인 1실 리모델링,2018년 2월,비봉관 2인 1실 리모델링(수용인원 108명)으로 총 1350명을 수용한다.,중앙도서관 한경마루 현판식,2018년 5월 17일,중앙도서관 2층이 리모델링을 거쳐 복합문화공간 한경마루로 재탄생했다. 새롭게 구성된 한경마루는 편안한 디자인의 휴게공간은 물론 자료검색 및 학습 등 다양한 기능을 수행할 수 있는 공간으로 구성됐다.,대학일자리센터 개소식,2018년 11월 21일,대학일자리센터 개소식이 진행됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2019,국립한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,취업브리지사업단 선정,2019년 3월 12일,경기도 일자리재단 취업브리지사업단으로 선정됐다.,한경비전 2030 확정,2019년 3월 25일,<한경비전 2030> 중장기 발전계획 및 특성화 계획을 확정했다.,통합 관련 양해 각서 체결,2019년 4월 15일,한국복지대와 통합 관련 양해 각서를 체결했다. ,개교 80주년 개교기념식 개최,2019년 4월 16일,개교 80주년 개교기념식을 개최했다.,대학혁신지원 사업 선정,2019년 5월 2일,우리 대학은 교육부의 2019년 대학혁신지원 사업에 선정됐다. 이번 사업에 선정됨에 따라 한경대는 오는 2021년까지 3년간 66억 원의 국고 지원금을 받게 된다.,실증연구단 수행 기관 선정,2019년 5월 28일,미세먼지 저감을 위한 실증연구단 수행기관으로 선정됐다.,<한경비전 2030> 선포식,2019년 12월 5일,<한경비전 2030> 선포식을 개최했다. 대학 비전을 새롭게 수립했다. 한경비전2030은 ‘길을 만드는 대학 경기 대표 국립대학’의 비전에 맞게 도전과 소통에 강한 융합형 인재를 양성해 전국 30위권 대학에 진입하겠다는 내용을 핵심으로 한다.,2018학년도 전기 학위 수여식,2019년 2월 22일,11시에 본교 체육관에서 2018학년도 학위수여식이 개최됐다. 총 1050명이 학위수여를 받게 됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,건축학과 인증심사 최고 등급 획득,2019년 1월 31일,건축학과(5년제)가 KAAB의 건축학 교육 프로그램 인증심사 결과 최고등급인 6년 인증 유효기간을 획득하였다.,대학 특성화 학부 선정,2019년 3월 20일,웰니스산업융합학부가 대학 특성화 학부로 선정됐다.,웰니스글로컬페스티벌 개최,2019년 11월 27일,우리 대학의 웰니스글로컬페스티벌이 성황리에 개최됐다.,null,null,null,null,null,null,null,null,null,null,null,null,KCL 사업장 개소,2019년 6월 18일,한경대 내 KCL(한국건설생활환경시험연구원) 사업장을 개소했다.,친환경농업연구센터 준공,2019년 11월 13일,친환경농업연구센터가 준공됐다.,지역문화복합관 준공,2019년 12월 20일,지역문화복합관이 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020,국립한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,통합 합의서 체결,2020년 6월 3일,한경대학교 및 한국복지대학교의 통합 합의서가 체결됐다.,융합기술 창업지원 사업 선정,2020년 6월 16일,경기도 대학생 융합기술 창업지원 사업으로 선정됐다.,장애 대학생 실태 평가 우수,2020년 11월 27일,2020 장애 대학생 교육복지지원 실태 평가에서 우수 대학으로 선정됐다.,글로컬 융합교육센터 신축사업비,2020년 12월 2일,글로컬 융합교육센터의 신축사업비가 확정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학사 구조 개편,2020년 3월 1일,학사구조가 4개 단과대학과 24개 학과에서 13개 학부와 31개 전공으로 개편됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,HK 드림랜드 개소식 개최,2020년 5월 28일,창업동아리 발대식 및 창업공간(HK 드림랜드) 개소식이 개최됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2021,국립한경대학교,제8대 총장 이원희 취임,2021년 10월 15일,제8대 총장으로 이원희(2021.10.15. ~ 2023.2.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,대학통합 신청서 제출,2021년 2월 9일,한경대학교와 한국복지대학교의 대학통합 신청서가 제출됐다.,대학일자리센터사업 성과평가,2021년 2월 16일,고용노동부 2020년 대학일자리센터사업 성과평가 우수대학으로 선정됐다.,연차성과평가 우수 대학,2021년 5월 6일,한국고용정보원 대학일자리센터 2020년 연차성과평가 우수 대학으로 선정됐다.,일반국립대학 중 취업률 1위,2021년 7월 26일,일반국립대학 중 우리 대학이 취업률 1위를 기록했다. 우리 대학이 교육부가 발표한 대학정보공시 2020년 대학취업률통계에서 취업률 66.8%로 전국 일반국립대학 중 1위를 기록하며 ‘믿음이 가는 취업 명문 대학’으로 자리매김했다.,일반 재정 지원 대학 선정,2021년 9월 3일,2021년 대학 기본역량 진단 최종 결과에서 일반 재정 지원 대학으로 선정됐다.,시민공청회 개최,2021년 11월 15일,우리학교는 지역사회 소통 강화를 위해 시민공청회를 개최했다.,BRIGHT Makers EXPO,2021년 11월 30일,우리 대학의 교육목표인 BRIGHT의 6대 핵심역량을 높이기 위한 BRIGHT Makers EXPO가 11월 16일(화)~17일(수) 이틀간 지역문화복합관 체육관에서 개최됐다. ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 개설,2021년 3월 1일,AI융합학부가 설치됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,비봉관 리모델링,2021년 3월,비봉관 리모델링(수용인원 104명)으로 총 1308명을 수용한다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2022,국립한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,대학일자리센터사업 성과평가,2022년 1월 26일,우리 대학은 고용노동부와 한국고용정보원이 주관하는 ‘2021년 대학일자리센터 사업 성과평가’에서 2년 연속 최고 등급인 ‘우수’ 대학에 선정됐다.,2019 인증대학 자격 획득,2022년 3월 8일,우리 대학은 2019 인증대학 모든 조건을 충족해 인증자격을 획득했다. 우리대학은 모든 분야에서 기준조건을 상회하여 우수한 평가를 받았다. ,행복캠퍼스 지원 사업,2022년 3월 17일,우리 대학은 2022년 '경기 중장년 행복캠퍼스' 지원 사업에 선정됐다. ,한경대학교&한국복지대학교 통합,2022년 4월 25일,한경대학교와 한국복지대학교의 통합이 승인됐다.,정부 혁신 우수 사례 선정,2022년 8월 25일,치유농업 프로그램 및 교육 분야 정부 혁신 우수 사례로 선정됐다.,안전 교육 최우수 위탁 기관 선발,2022년 12월,연안 체험 활동 안전 교육 최우수 위탁 기관으로 선발됐다.,null,null,null,2022학년도 온라인 입학식,2022년 2월 28일,2022년 온라인 입학식이 개최됐다. 31개 전공 총 1413명이 입학했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,디자인전공 세계 디자인 스쿨 랭킹 24위,2022년 8월 30일,디자인전공이 세계 디자인 스쿨 랭킹 24위에 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2023,한경국립대학교,제1대 총장 이원희 취임,2023년 3월,제1대 총장으로 이원희(2023.3. ~ )가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,대학일자리센터사업 성과평가,2023년 1월 26일,우리 대학은 고용노동부와 한국고용정보원이 주관하는 ‘2022년 대학일자리센터 사업 성과평가’에서 3년 연속 최고 등급인 ‘우수’ 대학에 선정됐다.,전국 일반국립대학 취업률 1위,2023년 2월 2일,우리 대학이 2022년 취업률 67.9%를 기록해 3년 연속 전국 일반국립대학 중 취업률 1위를 차지했다.,통합 출범식 개최,2023년 3월 2일,우리 대학은 한경대학교와 한국복지대학교의 통합을 기념하고 ‘한경국립대학교’의 새로운 시작을 알리는 통합 출범식을 개최했다.,교육 국제화역량 인증대학 선정,2023년 3월 10일,우리 대학은 2023년 교육부에서 주관하는 '교육 국제화역량 인증대학'에 선정되었다. 본교는 학위과정과 한국어연수과정 모두에서 인증을 받게 되어 유학생 비자발급 절차 간소화 등의 혜택을 받게 된다.  ,장애학생 지원 거점대학 운영지원,2023년 3월 24일,우리 대학은 교육부에서 주관하는 ‘장애학생 지원 거점대학 운영지원’ 사업 중 진로·취업지원유형에서 지원대상교로 최종 선정됐다.,청년 장애인 창업 공유 협약 선포식,2023년 9월 18일,장애인 창업 인재 육성과 국립대학 중심의 창업 교육 허브 구축을 위한 2023 청년 장애인 창업 공유 대학 협약 및 선포식을 개최했다.,의과대학 설치 추진 협약식,2023년 11월 16일,경기도 의사 수 부족 문제와 불균형적 의사 분포 문제 해결을 위한 안성시 한경국립대학교 의과대학 설치 추진 기자 회견 및 협약식을 진행했다.,2023학년도 입학식,2023년 2월 28일,11시 미래융합기술연구센터 컨벤션센터(안성캠퍼스)에서 2023학년도 입학식을 개최했다. 올해 신·편입생은 총 1631명이다. 이번 행사는 온라인 생중계 진행됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,교육대학원 과정 신설 ,2023년 5월 3일,기존의 일반대학 교직과정 운영과 더불어 교육대학원 과정을 신설했다. ,의과대학 신설 토론회,2023년 12월 19일,의과대학 신설을 위한 토론회를 개최했다.,ROTC 신설교 최종 선정,2023년 12월 29일,공군장교학군단(ROTC) 신설교로 최종 선정했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2024,한경국립대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,대학일자리센터사업 성과평가,2024년 1월 26일,대학일자리본부가 고용노동부 2023년 대학일자리플러스센터사업 연차 성과평가에서 4년 연속 최고 등급인 우수를 획득했다. ,사업 우선협상대학 선정,2024년 2월 27일,우리 대학은 고용노동부 '2024년 대학일자리플러스센터 사업'과 '대학 재학생 맞춤형 고용서비스 사업'에 우선협상대학으로 선정되었다. ,WFPL 참교육공헌 부문 대상,2024년 2월 21일,이원희 총장이 2023 WFPL 참교육공헌 부문 대상을 수상했다.,개교 85주년 기념식,2024년 4월 11일,제1대 총장으로 이원희(2023.3. ~ )가 취임했다.,첨단산업 인재양성 부트캠프,2024년 7월 9일,우리 대학은 교육부의 ‘2024년 첨단산업 인재양성 부트캠프 사업’에 최종 선정되어 2028년까지 5년간 70억원을 지원받는다.,공공의과대학 특별법 토론회 개최,2024년 8월 22일,우리 대학은 윤종군 국회의원실과 공동으로 여의도 국회의원회관에서 경기도 공공의료체계 강화를 위한 '한경국립대 공공의과대학 특별법' 토론회를 가졌다.,null,null,null,2023학년도 전기 학위 수여식,2024년 2월 22일,11시에 안성캠퍼스 지역문화복합관에서 2023 전기학위수여식이 개최됐다. 이번 학위수여식에는 총 1136명이 졸업했다.,2024학년도 입학식,2024년 2월 29일,우리 대학은 안성캠퍼스 운동장에서 2024학년도 신입생 입학식을 개최했다. 올해 우리 대학은 안성캠퍼스 및 평택캠퍼스 포함 약 1448명이 입학했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,공군 학군단 설치 관련 합의서 체결,2024년 2월 7일,공군본부(대장 이영수)와 공군 학군단(ROTC) 설치관련 합의서를 체결했다.,공군 학생군사교육단 창설 음악회,2024년 4월 8일,우리 대학은 학생극장에서 공군 학생군사교육단 창설 기념음악회를 개최했다.,학과 명칭 변경,2024년 6월 12일,2025년부터 아동가족복지학전공의 전공명이 복지상담학전공으로 변경된다.,null,null,null,null,null,null,null,null,null,null,null,null,글로컬융합교육센터 공사,2024년 1월 29일,글로컬융합교육센터 공사가 시작됐다. 본 건물은 안성캠퍼스 내에 새롭게 지어지는 건물로 총 7층(지하 1층 제외) 규모다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null